,Unnamed: 0,0,1,2,grade
185,185,C es para cumpleaños,"{'Community', 'Culture'}","
El primer programa de Sesame Street fue en 1969. Este año, Sesame Street celebra su 50o cumpleaños. Sigue la línea de tiempo de abajo. Te cuenta la historia del programa popular de niños. 
1969
Sesame Street transmite su primer episodio. En este, una niña nueva se muda al vecindario. Ella conoce a sus vecinos. ¿Puede nombrar por lo menos a uno de ellos?


1972
Sesame Street comienza a transmitir un programa en México. Los personajes hablan español. Hoy, Sesame Street puede verse en 150 países. ¡Los Muppets hablan 70 idiomas! 


1984
Este amigo peludo se convierte en una estrella. Elmo empezó como un personaje secundario. Luego, recibió un nombre y una voz.


2017
Comienza el trabajo en una nueva versión de Sesame Street. Es para los refugiados de Siria. 

2019
¡Sesame Street tiene 50 años! Para celebrar, la Ciudad de Nueva York renombra parte de la calle 63rd Street. Ahora se llama Sesame Street. 


",k1
186,186,B is for Birthday,"{'Community', 'Culture'}","
Sesame Street’s first show was in 1969. This year, Sesame Street celebrates its 50th birthday. Follow the timeline below. It tells you about the history of the popular children’s program. 

1969
Sesame Street  its first episode. In it, a new kid moves to the neighborhood. She meets her neighbors. Can you name at least one of them?


1972
Sesame Street begins airing a show in Mexico. The characters speak Spanish. Today, Sesame Street can be seen in 150 countries. The  speak 70 languages! 


1984
This furry friend becomes a star. Elmo started as a background character. Then he got a name and a voice.


2017
Work begins on a new version of Sesame Street. It is for Syrian .  

2019
Sesame Street is 50! To celebrate, New York City renames part of 63rd Street. It is now called Sesame Street. 


",k1
187,187,She’s a Puppeteer,"{'Community', 'People'}","
Behind every great puppet is a great puppeteer. That is someone who gives a puppet personality. LESLIE CARRARA-RUDOLPH is a puppeteer. Her puppet is Abby Cadabby, of Sesame Street. 
Carrara-Rudolph makes Abby move. She also gives Abby a voice. “When I put on Abby, she comes to life,” Carrara-Rudolph told TIME for Kids. “I disappear behind her.” Carrara-Rudolph uses her arms and hands to make Abby move. Sometimes, other people help. They move Abby’s wings and wand. 
While working the puppets, puppeteers sit below the stage. The camera cannot see them. “We have as much fun as the puppets do,” Carrara-Rudolph says. 
",k1
188,188,Amazing Apples,"{'Food and Nutrition', 'Environment'}","
This is apple season! Apples are ripe in the fall. They are ready to be picked and eaten. Join TIME for Kids on a trip to the orchard. Let’s learn about this fall fruit. 

At the Orchard

Welcome to the . An orchard is a place where fruit and nut trees grow. Here, apple trees are planted in rows. 

Lots of Choices

Apples are green, yellow, and red. There are thousands of different types of apples. They all have different names. 

Full of Flavor

Apples are good for you. They are tasty, too. An apple can be soft or . It can be sweet or . Take a bite. How does your apple taste?

To the Market 

Apples are picked when they are . People put them into bins. The bins are loaded onto trucks. Then the apples are taken to markets and stores.

Did You Know?
Look at the parts of an apple. Do you see the seeds? You can plant them. A tree might grow. It takes years for an apple tree to grow fruit.  


",k1
189,189,Fall Harvest,"{'Health', 'Food and Nutrition'}","
Fall is harvest season. Crops are ready to be picked. Here are four fall crops. Which is your favorite? 

PUMPKINS grow in pumpkin patches. They turn orange when fully ripe. You can eat the seeds!


CORN grows in fields. It starts as a kernel. A corn’s seeds are in the kernels. Corn is ready to be picked when its silk turns brown.

PEARS grow on trees. They are picked before they are fully ripe. The fruit ripens off the tree. 

SWEET POTATOES grow underground. They are root vegetables. Farmers dig them up. 
",k1
190,190,Time For Class!,"{'Culture', 'World'}","
Kids all over the world go to school. Some of the schools look like yours. Some look different. But they have one thing . They are places where kids go to learn. Take a look.

This school is in Cuba. 

Students get to school early. They wait outside the building. Soon, class will start. Students are ready to learn. 

This school is in Bangladesh.

It is a floating school. The classroom is on a boat. These students are good listeners! 

This school is in Indonesia. 

It is in a rain forest. Students study . They learn how to care for it. In this photo, kids are eating lunch together. After lunch, they clean up.

This school is in Germany.

It is a  school. Students use technology to learn. These kids are using tablets. Look how  they are. 

Where in the World?
Look at the map. Then find the countries you have read about.


",k1
192,192,Charging Ahead,"{'Transportation', 'Technology'}","
Do you ride a school bus? Most school buses are powered by gas. It harms the environment. Some people want to switch to ELECTRIC BUSES. These buses are powered by batteries. Electric buses are better for the environment. What do you think? Should schools switch to electric buses?

",k1
193,193,Into the Wild,"{'Animals', 'World'}","
Amazing Creatures 

Elephants are huge. They are the largest land animals on Earth. They roam through parts of Africa and Asia. Join TFK on an elephant . Let’s learn about these incredible . 
Here Comes the Herd

Elephants travel together in large groups called herds. A herd is made up of females and young elephants. The grown-up elephants work together to take care of the young. 
The Nose Knows

Elephants are known for their long,  trunks. A trunk is a helpful thing to have. An elephant breathes and smells through its trunk. The trunk also helps the animal drink water and feed itself. This elephant is about to munch on grass. Chomp chomp! 
It’s Shower Time! 

Elephants know how to beat the heat. They suck up water through their trunks. Then they spray themselves with it. Woosh! 
Terrific Tusks

Lots of elephants have tusks. Tusks are gigantic teeth. The animal uses them to dig and for defense. Did you know that an elephant’s tusks never stop growing? 
A Species at Risk

Some types of elephants are endangered. This means that they are at risk of dying out. That’s because people hunt them.
",k1
194,194,Hard at Work,"{'Business', 'People'}","
People have jobs. That is how they earn money. People choose jobs based on their interests and skills. Read on to find out about five different jobs. Which one sounds the most interesting? 
This is a .

Vets take care of animals. They help them stay healthy. Vets also help sick animals get well. 
This is a judge.

A judge rules a  of law. Judges help courts make decisions. They must be honest and fair
This is a pilot.

Have you ever flown in an airplane? If so, you can thank a pilot. Pilots fly planes around the world. They help passengers and crew members stay safe.  
This is an archaeologist.

Archaeologists study people, places, and things from long ago. On a job site, archaeologists use tools such as  and brushes. 
This is a photographer.

A photographer makes pictures for a living. Some photographers work in a studio.  They use different  and lights to get the best shots. 
",k1
195,195,Meet an Engineer,"{'Technology', 'Engineering'}","
Roads don’t just appear by magic. Neither do sidewalks or traffic lights. These things are carefully planned by engineers. 

An engineer is a person who designs and builds things. YUNG KOPROWSKI (pictured) is an engineer. She works in transportation. She plans new ways for people to get around.
She fixes old transportation systems, too. “Transportation engineers make life safer and easier,” Koprowski told TFK. “We help people travel to the places where they live, work, and play.”
",k1
196,196,Making a Magazine,"{'Community', 'Books'}","
A lot goes into making a magazine. Take a look at this page. First, the story was written by a writer. Then it was revised by an editor. The page was laid out by a . Here’s a sneak peek at how TFK is made. 

Welcome to TFK’s morning meeting. We get together every day. We share ideas about what to put in the magazine. We talk about what needs to be done. Our meetings keep us organized.  

Photos are an important part of a magazine. They help tell the story. We look at many photos and choose the best ones. Then TFK’s art department creates a . 

A writer reports the story. She does research. She asks questions. She talks to . Finally, she sits down to write. When the story is finished, she checks her work. 

An editor reads the writer’s story. She makes changes. She works with the writer to make the story clear and interesting to readers. 
Did you know?

Magazines have copy editors. They read all of the magazine’s copy, or text. They make sure there are no mistakes. This is Mike. He is one of TFK’s copy editors. 
",k1
197,197,Mighty Drones,"{'Technology', 'Engineering'}","
A drone is a type of . Some drones are tiny. Others are the size of an airplane. But drones are very different from airplanes. For one thing, they don’t carry people. Here’s the scoop on drones. 
Ready for Takeoff 

Drones have . The propellers are like blades on a fan. They turn quickly. This lifts the drone up into the air. Zoom! 
Ground Control

Drones can be flown by computers. They can also be flown by a person on the ground with a remote control. 
Up, Up, and Away 

Some drones fly high and far. They take off and land . They can get to places that are hard to reach. 
The View from Above

Drones can take pictures. They can also shoot videos. They can give us a  of our world. 
Did you know?

Drones can put on a show. They can light up and form an image in the sky. The image on the cover of this issue was made using lots of drones. What a sight! 
",k1
198,198,A Lifesaving Drone,"{'Technology', 'Engineering'}","
Drones can save lives. The drone in this picture is a Zipline drone. It is being launched. A Zipline drone carries medical supplies. It takes them to people who are sick and far from help. A young girl in Africa was very ill. She needed new blood to get better. It would take hours to send the blood by car. Time was running out. So Zipline carried blood to the girl. It took only six minutes for the drone to fly to the hospital. The girl got better. The drone saved her life!  
",k1
199,199,Celebración del Día de la Tierra,"{'World', 'Environment'}","
El Día de la Tierra es el 22 de abril. Pero niños pueden ayudar al planeta durante todo el año. Estos niños están ayudando a mantener limpio el planeta. Están recolectando basura en una playa. Sigue leyendo para aprender cómo puedes ayudar. 

Puedes cerrar el grifo. 
Ahorrar agua ayuda al planeta. Cierra el grifo cuando te cepillas los dientes. Dúchate en vez de tomar un baño. 

Puedes plantar un árbol.
 Los árboles son buenos para el planeta. Limpian el aire que respiramos. Estudia estos cinco pasos. Nos muestran cómo plantar un árbol. ¿Te gustaría plantar un árbol este Día de la Tierra? ¡Pide a un adulto que te ayude!

Puedes andar en bicicleta.
 Los autos y camiones causan polución. Elegir caminar o andar en bicicleta nos ayuda a mantener el aire limpio. Además, andar en bicicleta en buen ejercicio.

Puedes reciclar. 
Separa el papel, el metal y el plástico. Pueden reciclarse y usarse para fabricar algo nuevo. 

Apaga las luces. 
Esto ahorra energía. Usar mucha energía es derrochador. Apaga las luces cuando sales de una habitación.


",k1
200,200,Celebrating Earth Day,"{'World', 'Environment'}","
Earth Day is April 22. But kids can help the planet all year long. These kids are helping to keep the planet clean. They’re picking up trash on a beach. Keep reading to learn how you can help. 

You can turn off the tap. 
Saving water helps the planet. Turn off the  while you brush your teeth. Take a shower instead of a bath. 


You can plant a tree.
 Trees are good for the planet. They make clean air for us to breathe. Study these five steps. They show you how to plant a tree. Would you like to plant a tree this Earth Day? Ask an adult to help you!

 
You can ride a bike.
 Cars and trucks cause . Choosing to walk or bike helps keep the air clean. Plus, biking is good exercise.

You can recycle. 
Set paper, metal, and plastic aside. They can be recycled and made into something new. 

You can turn off the lights.
 This saves energy. Using too much energy is . Turn off the lights when you leave a room.


",k1
201,201,Inspired by Kids,"{'Arts', 'Music and Theater'}","
Shiver me timbers! The Story Pirates think kids have great ideas. The group uses these ideas to create shows, books, and podcasts. Read on to learn more about the Story Pirates’ work. 
Think Big

The Story Pirates visit schools. They help kids make up stories. Then they  the stories in front of students. 
From Page to Stage

The Story Pirates are known for their live shows. The shows are funny. They are full of energy. 
Podcast Power

There is a Story Pirates podcast. That is a show you can listen to on a phone or computer. Story Pirates tell stories and play songs. 
Stories by Kids, for Kids 

The Story Pirates create books. The idea for Digging Up Danger came from Phoebe Wolinetz. She is 9 years old.
Try It!

Dream up your own story. Who are the main characters? Where does it take place? Swap stories with a classmate. Act out each other’s tales. 
",k1
202,202,Let's Do Improv!,"{'Arts', 'Music and Theater'}","
Improv is short for improvisation. It is a type of . Everything is made up on the spot. The performers discover what is happening as they go. Nick Kanellis and Peter McNerney are  improvisers. They teach improv classes. They also work with Story Pirates. They  in shows together. What does it take to be a good improviser? Nick and Peter gave TFK some tips.


",k1
203,203,Mighty Mushrooms,"{'Food and Nutrition', 'Environment'}","
Mushrooms are not animals, of course. But they’re not plants either. Mushrooms are a type of fungus. They grow in the grass and on trees. They grow on dead leaves and  logs. Let’s go on a mushroom hunt! 
There are many types of mushrooms.

 They come in different shapes, sizes, and colors. Some are good to eat.
Watch out!

Some mushrooms are . They can make you very sick. Some can even be deadly. 
Meet a forager. 

A forager hunts for things to eat in the wild. This one is looking for mushrooms. She knows where to spot them. An experienced forager knows which mushrooms are safe to eat. 
Mushrooms have spores.

Spores are like tiny seeds. Spores are carried by the wind. New mushrooms can grow where they land.  
Did You Know?
These mushrooms make bright-blue milk.

These mushrooms glow in the dark.

This mushroom smells like rotting meat. Yuck! 


",k1
204,204,Let’s Hunt!,"{'Food and Nutrition', 'Animals'}","
Sniff, sniff! This is a truffle dog. It hunts for truffles. Truffles are another type of fungus. They are found underground. Truffles have a strong smell. Chefs use them for cooking. 

Truffles are hard to find. That’s because they are rare. But truffle dogs are specially trained. They sniff out truffles in the forest. These furry hunters lead foragers to the smelly fungus. 
",k1
205,205,A Mushroom Dress,"{'Arts', 'Inventions'}","
This is not an ordinary dress. It’s a mushroom dress! It was made by a designer. Her name is Aniela Hoitink. 
Hoitink made this dress using mycelium. That is the part of a mushroom that grows underground. Hoitink did not find the mycelium in a forest. She grew it in a lab. 
Other designers also make things using mycelium. Some say it could be the material of the future. 
",k1
206,206,Stormy Weather,"{'Science', 'Weather'}","
The sky is dark. The clouds are heavy. The wind is strong. It’s storming! Storms happen all around the world. But not all storms are alike. Here are four types of storms. Have you been caught in a storm? 
Thunderstorm

During a thunderstorm, the sky is dark. Lightning flashes. Thunder cracks. Boom! Heavy rain falls.  
Hurricane

Hurricanes bring strong,  winds. They form over warm ocean water. Sometimes, they reach land. 
Blizzard

A blizzard is a dangerous snowstorm. Blizzards bring high winds and heavy snowfall. During a blizzard, it can be hard to see. Snow falls for hours. It can pile up high! 
Tornado

A tornado is a spinning funnel of wind. It can  when hot and cold air come together. Tornadoes are powerful. Like hurricanes, they can cause a lot of . 
Did You Know?

A meteorologist is a scientist who studies weather. He or she warns people when strong weather is coming. This helps people stay safe during storms.
",k1
207,207,On the Map,"{'Science', 'Weather'}","
A weather map shows information about the weather. Meteorologists use weather maps to see patterns. The maps help them predict the weather. 
A weather map can show temperature, wind speed, wind direction, and more. It shows where storms are and where they’re going. The maps use satellite pictures from space and information from the ground.
",k1
208,208,On the Farm,"{'Food and Nutrition', 'Environment'}","
Welcome to the farm! Farms are places where food is grown or raised. Life on the farm is fun—and busy! See for yourself. Let’s visit a farm together. 

Many farms grow crops. These fruits and vegetables start as seeds. Farmers plant seeds. The seeds need water and sunlight to grow. 

Dairy farms raise cows for milk. Poultry farms raise chickens for meat and eggs. Kids who live on a farm often have chores, or special jobs. This girl is collecting eggs. How helpful! 

It’s  time! Crops are ready to be picked. Fruits and vegetables can be harvested by machine. They can also be picked by hand. This girl is harvesting carrots. 

Food from the farm goes to restaurants, stores, and . Food fresh from the farm tastes great! 

Did You Know?
There are farms all over the world. This is a rice farm. It is in Vietnam. That is a country in Asia. Vietnam is a top rice-growing country. Rice needs lots of water to grow


",k1
209,209,Best Inventions of 2018,"{'Inventions', 'Technology'}","
Inventions have the power to help people. An invention can change how we live, work, and play. Each year, TIME magazine picks the year’s best inventions. Here, TFK tells you about five of them. 
A Safer Ride

Biking in the dark is dangerous. But this LUMOS helmet has lights. They help cars see bikers at night. That helps bikers stay safe. 
Sweet Sandals

Making shoes can be harmful to the planet. But these flip-flops are made from a new material. It is called SWEETFOAM. It is made from the sugarcane plant. 
In Control 

With NINTENDO LABO, gamers can build their own controllers out of cardboard. The controllers can be used to play mini-games on the Nintendo Switch.
Ready to Fly 

The GRAVITY JET SUIT lets people fly. The suit has five mini jet engines. They can push a person into the air. Zoom! 
Better Wheels

Wheelchairs help people get around. The WHILL MODEL CI is a new type of wheelchair. It can climb over things and move around in tight spaces. It can be taken apart in minutes. 
",k1
210,210,Historic Inventions,"{'History', 'Inventions'}","
A patent is a legal document. It stops people from copying an inventor’s idea. The U.S. began giving out patents in 1790. Here are some inventions that have received patents.
Cotton Gin

Eli Whitney got a patent for the cotton gin in 1794. It was a machine that quickly cleaned cotton. This made it easier to create cloth.
Electric Lightbulb 

Thomas Edison got a patent for an electric lightbulb in 1880. Edison got more than 1,000 patents for inventions.
Airplane

Wilbur and Orville Wright got a patent for a “flying machine” in 1906. They invented the first successful airplane.
iPhone

The first iPhone was released in 2007. In 2008, Apple Inc. got patents for its design.
",k1
213,213,Meet an Author,"{'Entertainment', 'People'}","
Matt de la Peña wrote Carmela Full of Wishes. TIME for Kids asked him some questions.

Question: How did you become a writer?
Answer: I wrote poems when I was a child. Then I grew up and read a lot of books. I thought, “I could write a book, too.”

Q: How do you write a picture book?
A: First, I  the characters. I wonder how they see the world. Then I start writing.

Q: Where did you get the idea for Carmela Full of Wishes?
A: It was a windy day. Dandelion  filled the air. A boy said, “Look, the sky is full of wishes.” It sounded like a poem to me.

Q: Who is the illustrator of Carmela Full of Wishes?
A: His name is Christian Robinson. He is a talented artist. I am always excited to see how he imagines my characters.

Q: What is the best part of your job?
A: I love visiting classrooms. Kids ask questions about my stories. We have fun conversations! 

VIDEO COURTESY THE KANSAS CITY, KANSAS, PUBLIC LIBRARY
",k1
214,214,She's a Poet,"{'Entertainment', 'People'}","
Margarita Engle is a poet. She writes picture books, too. She grew up in Los Angeles, California. Every summer, her parents would take her to Cuba. That’s the country where her mother was born. 
In Cuba, Engle explored the tropical forest. You can see her love of nature and Cuba in many of her books. 
Engle tells her stories through poems. When you listen to them, you might feel like you are skipping along or dancing to a drum. You might hear a . One of her recent books is The Flying Girl. It’s a true story. It’s about the first woman to fly a  airplane.
“I want to write something that leaves me with a hopeful feeling,” Engle says. “Poetry allows me to do that.”
",k1
215,215,Meet the Dinos,"{'Science', 'Animals'}","
Close your eyes. Imagine the Earth millions of years ago. Giant reptiles ruled the planet. Now join TFK as we travel back in time. Let’s explore the world of dinosaurs!   

This is a Tyrannosaurus rex. It was one of the largest dinosaurs. It was a meat eater. It had sharp claws and teeth. It  on other animals. 

Diplodocus
The Diplodocus was long. It was about the length of two school buses. It ate plants. Its long neck helped it reach leaves.

Heterodontosaurus
Other plant-eating dinos stood tall on two feet. This dino’s fingers helped it  food. It ate from treetops. It may have eaten small animals too. 

Triceratops
The Triceratops traveled in . The dinosaur looked for plants to eat. Triceratops had three horns. (Tri means “three.”) Horns helped it defend itself from .

These are paleontologists. They are scientists. They help us learn about life long ago. They study the fossils of dinosaurs and plants. 

Did You Know?

The word dinosaur means “terrible lizard.” It comes from the Greek language.  
",k1
216,216,On the Water,"{'Transportation', 'Technology'}","
Boats and ships carry people and things across water. They are used for business. They are also used for fun! Here are some ways to travel on water. Have you ever been on a boat?
This is a sailboat.

Its sails catch the wind. That pushes the boat forward. The sails must change direction with the wind. 
This is a ferry. 

Ferries  people and sometimes cars. Some ferries let you bring your bike! Usually, ferries travel short distances. Most are powered by an .  
This is a cargo ship. 

Cargo ships carry heavy loads. They travel from one  to another. They carry trade goods. They are powered by an engine. 
This is a rowboat.

People use oars to row the boat. A strong  can make it harder to row. 
Did You Know?

Not all boats travel above water. This is a submarine. It’s built to travel below the surface. Submarines let people explore the deep sea. Glub!
",k1
217,217,Sight and Sound,"{'Arts', 'Culture'}","
Meet Nick Cave. He is an artist. He plays with sound and . He uses different  in his work. Cave is best known for his Soundsuits. They can  our imagination. Are you ready to use your imagination? 
Step Inside

A Soundsuit is a  you can wear. It looks and moves like a strange creature. 
Listen

A Soundsuit makes noise when it moves. This one is made of twigs and wire. What sound do you think it will make?
Watch

Dancers in Soundsuits move to a drumbeat. They waddle, shake, and shimmy. People stop and watch. They feel like they have stepped into a different world! 
Play

What does it feel like to wear a Soundsuit? No one can see who you are. You might feel like someone else, or something else. Cave says wearing a Soundsuit makes him feel free.
Did You Know?

The Soundsuits are made from bits and pieces. Cave uses sequins, buttons, blankets, toys, and more. What objects do you see in this Soundsuit? What objects would you use to make a Soundsuit of your own?
",k1
218,218,Amazing Artists,"{'Arts', 'History'}","
Artists help us see our world differently. They inspire us. Read about four African-American artists. Who inspires you? 
Augusta Savage (1892–1962)

Augusta Savage was a sculptor. She made figures out of clay and other materials. She was also a teacher. She helped younger African-American artists. 
Duke Ellington (1899–1974)

Duke Ellington was an important American composer. He wrote more than 3,000 songs. Trumpet player Wynton Marsalis said, “His music sounds like America.” 
Kehinde Wiley (1977–present)

Kehinde Wiley paints colorful portraits of people. He was the first African-American artist to paint a president’s portrait. He painted Barack Obama in 2018. 
Misty Copeland (1982–present)

Misty Copeland is a well-known dancer. She is a ballerina at the American Ballet Theatre (ABT). She was the first African-American woman at ABT to be chosen as a lead dancer.
",k1
219,219,Take a Tour,"{'United States', 'Government'}","
The White House is in our nation’s , Washington, D.C. The White House is more than 200 years old. It is where the president and the First Family live. See what happens in America’s most famous home.
The president works.

He signs bills into law. Here, President Donald Trump signs a  for kids’ health.
The president has fun.

He can go to the White House theater. President Ronald Reagan enjoyed The Sound of Music.
The president spends time with family. 

Even the president needs to relax. President John F. Kennedy celebrated Christmas at the White House. He posed for a family photo. But the pets would not sit still!
The president hosts guests. 

World leaders visit the White House. President Barack Obama hosted Justin Trudeau. He is Canada’s leader. They waved for a photo. 
Did You Know?

U.S. presidents pay for their own food. A bill comes every month. Here, President Gerald Ford fixes an English muffin in the White House kitchen.
",k1
220,220,Time to Celebrate!,"{'Community', 'Holidays'}","
It’s winter! Do you celebrate a special holiday? Lots of people do. There are many  and traditions. Take a look.

Some people celebrate Christmas. They decorate a Christmas tree. They hang ornaments on its branches. This tradition is about 400 years old. Some people sing Christmas carols.

Some people celebrate Hanukkah. It is the Festival of Lights. The holiday lasts eight days. Candles are lit each night. 

Some people celebrate Chinese New Year. They hang red lanterns. They go to parades. People do a dragon dance. It is for good luck.

Some people celebrate Kwanzaa. The holiday lasts seven days. People light candles. The candles have different meanings. The holiday ends with a big meal.   

Did You Know?

Winter solstice is the shortest day of the year. After this, the days begin to have more sunlight. Some people celebrate the solstice at Stonehenge. It is an ancient . It is in England.


",k1
221,221,"Ready, Set, Code!","{'Technology', 'Engineering'}","
Computers need . That’s where coders come in. Coders write programs. Programs tell a computer what to do. Here’s the scoop on coding. 
Problem Solvers

Coders solve problems. They work together. They are creative. Coders are sometimes called programmers.
A Fun Job 

Coders make . They also make applications, or apps. An app is a type of program. Apps can be used to play games, check the weather, and more. 
Coding Languages

People around the world understand different languages. Computers understand different languages too. Coding uses words, letters, numbers, and symbols. 
Coding for Kids

Coding is for everyone, even kids! There are books, toys, and games that teach kids how to code. 
Did You Know?

This is an abacus. It is a tool for counting. Some say it is the oldest type of computer. The abacus was invented more than 3,000 years ago. People still use them today. 
",k1
223,223,Cities of the Future,"{'Engineering', 'World'}","
People are building a new kind of city. This type of city will not be on land. It will float on the ocean. 
The first floating city will be in French Polynesia. That is in the South Pacific Ocean.  will begin soon. The builders hope to finish it by 2020. To begin with, the first floating city will be the size of a soccer field. But it will grow. It will have homes and parks. There will also be schools, shops, and restaurants. 
Why build floating cities? Floating cities are safe from . As the sea rises, so will the cities. They can be moved to a new place. And they will let more people live near the ocean.
",k1
224,224,Explore the Moon,"{'Science', 'Space'}","
The moon is Earth’s closest neighbor. It is the brightest object in the night sky. Scientists have studied the moon for thousands of years. Learn more about the moon. 
The moon is about 4½ billion years old. It is made of rock. It is covered with . They were made when objects hit the moon’s surface. 

The moon has no weather. That means there is no wind or rain. Footprints left by astronauts could last billions of years. 

The moon has eight . Once a month, we see a full moon. Sometimes we can’t see the moon at all. The shape we see depends on how the Earth, sun, and moon line up.

Only 12 people have walked on the moon. U.S. astronaut Neil Armstrong was first, in 1969. He took this photo of Edwin “Buzz” Aldrin. 

Did You Know?
Astronauts first flew to the moon in 1968. That was 50 years ago. The  was called Apollo 8. One of the astronauts took this famous photo of Earth. What a view!


",k1
225,225,Animal Homes,"{'Places', 'Animals'}","
People build homes. A home keeps us warm and dry. It gives us a place to live. Animals also build homes. Read on to see how.  

Birds build nests. They use  and leaves. A nest keeps eggs safe. It keeps baby birds warm. Nests are often found in trees.  

Beavers build lodges. They use branches and mud. A lodge can be in a river, lake, or pond. Its  is underwater.

Ants build nests. Some build nests in trees. Others build underground. See the mound of dirt? It is an anthill. It is the opening of a nest.   

Rabbits live in burrows. Burrows are underground. Rabbits build them by digging. A burrow has chambers, or rooms. Chambers are connected by . As many as 20 rabbits can live together in a burrow. 

Coral reefs are home to many ocean creatures. Corals are tiny animals. A single coral is called a . Their skeletons form a reef.


",k1
226,226,Ways to Give,"{'Community', 'People'}","
Do Your Part 
You can make the world a brighter place. How? Here are a few ideas. Which have you tried? Which would you like to try?
 You can volunteer. 

Clean up litter in a park. Pick up plastic on a beach. Lend a helping hand to a neighbor in need. 
You can raise money.

Hold a bake sale. Run a lemonade stand. You can donate the money you earn. It can help a  you care about.
You can lead a food drive. 

Get your friends together. Collect canned food. Ask neighbors to donate too. Bring the canned goods to a food bank in your town. You can donate. Do you have clothes that no longer fit? Do you have toys you no longer play with? Give them to a local .
Did You Know?
Kids help solve problems in their community every day. What can you do to help your community? Make a list of ideas.
",k1
227,227,Travel Back in Time,"{'History', 'World'}","
Welcome to Egypt. It is a country in North Africa. Read on to learn what life in Egypt was like more than 2,000 years ago. 
Pharaohs

Kings and queens ruled  Egypt. They were called pharaohs. They made laws and led armies. This mask was made to look like King Tutankhamen. 
Mummies

The Egyptians believed in a life after death. A dead body was dried and wrapped in fabric. That is called a mummy. The mummy below was buried in a painted case. 
Hieroglyphs

The Egyptians wrote in pictures. The pictures are called hieroglyphs. They were often carved in stone. Hieroglyphs tell stories. They teach us about people and events in Egypt’s history.
Pyramids

Pharaohs  the building of pyramids. The monuments are made of stone. These are the Pyramids of Giza. The biggest (center) is 481 feet tall. Inside is the  of King Khufu.
Did You Know?
The Nile passes through Egypt. It is the longest river in the world. Ancient Egyptians sailed up and down the Nile. That is how they traded goods with other countries.
",k1
228,228,Be Here Now,"{'Health', 'The Human Body'}","
Mindfulness is taught in many schools. Kids learn deep breathing, movement, and how to relax. Mindfulness can help people in different ways. Read on to learn more.
Calm Down

Mindfulness helps people relax. It calms the body. It also quiets the mind.
Be Happy

Mindfulness helps people feel good. It  anger and sadness. It is said to  happiness.
Stay Focused

Mindfulness helps people pay attention. It can help kids do well in school.
Connect with Others

Mindfulness helps people get along. It increases feelings of . Empathy is the ability to understand and share other people’s feelings.
Did You Know? 
You can practice mindfulness. 
Here is one way. Try it.
1) Sit down. Close your eyes.   
2) Count to four as you breathe in.
3) Count to four as you breathe out.
4) Repeat three times.
",k1
229,229,All About Bones,"{'Health', 'The Human Body'}","
This is a human skeleton. It is made of bones. Bones shape and support your body. They also protect your .

This is an X-ray of a human skull. The skull protects the brain. It gives shape to the face. It has 22 bones.

It is important to keep your bones healthy. Drinking milk or eating oranges helps. They have . Calcium helps bones grow strong.

Have you ever broken a bone? Ouch! A doctor sets the bone in place. A  protects it while it heals.

Your bones are under your skin. You need an X-ray machine to see them. An X-ray is a special type of picture. It shows doctors if a bone is broken.

Did You Know? 
Adults have 206 bones. Babies are born with about 300 bones. Bones are living things. As you get older, some bones fuse, or grow together. 


",k1
231,231,What Do You Say?,{'Animals'},"
Humans use language to communicate. Animals communicate, too. Find out how. 

Some animals use sound. Each penguin has a special call. Other penguins hear the sound and know who is calling.

Some animals light up. Jellyfish can make their bodies glow. They light up when a  comes near. The light scares the predator away. 

Some animals use movement. Fiddler crabs wave their claws in the air. They do this to  a mate. 

Some animals use color. An octopus changes its color. A light color means the octopus is friendly. A dark color means it is angry. 
Did You Know?

Dolphins don’t have ears. But they understand sounds made by other dolphins. How? Sound makes  in water. Dolphins feel the vibrations in their jawbone.
",k1
232,232,Welcome to the Crayola Factory!,"{'Places', 'Business'}","
Take a trip to Easton, Pennsylvania. It’s home to the Crayola factory! Crayola makes 13 million crayons every day. People and machines get the job done. Keep reading to learn how crayons are made. 
Crayons are made of wax and color. First, the wax must be heated. Then a worker adds a bag of colored powder. 

Next, the wax is poured into molds. This forms the crayons. They harden as they cool. A machine pushes them out of the mold. 

After that, the crayons are run through a labeling machine. Each label wraps around twice. This makes the crayons stronger. Workers  the crayons.  crayons are set aside. 

Then workers pick up the crayons. They put them in a . 

The collator takes one crayon of each color. It puts them into boxes. Now boxes of crayons are ready to be sent to stores. Soon, kids will use the crayons.


",k1
233,233,Meet Lady Liberty,"{'United States', 'History'}","
The Statue of Liberty is an American monument. She stands tall in New York Harbor. 


The statue was a gift from France in 1886. It was built in France. Then it was shipped across the ocean in pieces.

Lady Liberty is a symbol. She stands for freedom. Long ago, she welcomed immigrants who came to America by ship. 

Lady Liberty wears a crown. It has seven points. It also has 25 windows. Visitors can climb into the crown and look out. 


Millions of people visit the Statue of Liberty each year. They come from around the world.


Did you know? 
Lady Liberty’s crown has seven rays. They stand for the seven continents and seas. The statue stands 305 feet tall.The date on her tablet is July 4, 1776. That is our country’s birthday!The statue has 354 steps.


",k1
